nid|name|birth|titles|profession
nm0000047|Sophia Loren|1934|tt0110907|actress,soundtrack
nm0000052|Marcello Mastroianni|1924|tt0110907|actor,soundtrack,producer
nm0000056|Paul Newman|1925|tt0139462|actor,producer,director
nm0000063|Anthony Quinn|1915|tt0100485,tt0114887|actor,producer,soundtrack
nm0000093|Brad Pitt|1963|tt0117665,tt0236493,tt0240772,tt0349903|actor,producer,soundtrack
nm0000095|Woody Allen|1935|tt0116242|writer,director,actor
nm0000098|Jennifer Aniston|1969|tt0119896,tt0398375,tt4824302|actress,producer,soundtrack
nm0000101|Dan Aykroyd|1952|tt0092925|writer,actor,producer
nm0000102|Kevin Bacon|1958|tt0087277,tt0091814,tt0092967,tt0093403,tt0094318,tt0096094,tt0096926,tt0097125,tt0099582,tt0100814,tt0102011,tt0102733,tt0102741,tt0104257,tt0109067,tt0110997,tt0112384,tt0112453,tt0113870,tt0117665,tt0118980,tt0119896,tt0120303,tt0120890,tt0123191,tt0156812,tt0164052,tt0164181,tt0280380,tt0327056,tt0361127,tt0373450,tt0388213,tt0485851,tt0790736,tt0804461,tt0822849,tt0870111,tt1185431,tt1270798,tt1512235,tt1578882,tt1781840,tt1878841,tt3813310,tt4128724|actor,producer,soundtrack
nm0000106|Drew Barrymore|1975|tt0270288|producer,actress,soundtrack
nm0000107|Kim Basinger|1953|tt0091637,tt0104265|actress,soundtrack,producer
nm0000110|Kenneth Branagh|1960|tt0107616,tt1205537|actor,producer,director
nm0000113|Sandra Bullock|1964|tt0098185,tt0100930,tt0102343,tt0105807,tt0106697,tt0106913,tt0108327,tt0108473,tt0108596,tt0111257,tt0113957,tt0114924,tt0116621,tt0117913,tt0118002,tt0119313,tt0120179,tt0120791,tt0120794,tt0141098,tt0171356,tt0191754,tt0212346,tt0264935,tt0279778,tt0313737,tt0375679,tt0385307,tt0410297,tt0420609,tt0477071,tt0477302,tt0878804,tt0881891,tt1018765,tt1041829,tt1454468,tt2293640,tt2404463,tt3228928,tt5164214|producer,actress,soundtrack
nm0000114|Steve Buscemi|1957|tt0413895,tt3505712,tt4191702|actor,director,producer
nm0000115|Nicolas Cage|1964|tt0375568,tt0429589,tt0481499,tt2850386|actor,producer,soundtrack
nm0000117|Neve Campbell|1973|tt0120890|actress,producer,soundtrack
nm0000123|George Clooney|1961|tt0240772,tt0270288,tt0349903,tt1454468,tt2241351|actor,producer,director
nm0000124|Jennifer Connelly|1970|tt0970416|actress
nm0000125|Sean Connery|1930|tt0094226,tt0113071|actor,producer,soundtrack
nm0000126|Kevin Costner|1955|tt0087374,tt0088707,tt0089126,tt0090022,tt0093640,tt0094226,tt0094812,tt0097351,tt0099348,tt0100485,tt0102138,tt0102798,tt0103855,tt0107808,tt0111667,tt0111756,tt0114898,tt0117918,tt0119925,tt0126916,tt0139462,tt0146309,tt0233142,tt0259288,tt0316356,tt0365885,tt0398375,tt0406816,tt0470878,tt0498362,tt0780571,tt0930057,tt0951335,tt1027862,tt1205537,tt2097298,tt2172934,tt2223990,tt2883434,tt3014866,tt4209788,tt4846340,tt5434972|actor,producer,soundtrack
nm0000129|Tom Cruise|1962|tt0104257|actor,producer,soundtrack
nm0000131|John Cusack|1966|tt0265029|actor,producer,writer
nm0000132|Claire Danes|1979|tt0473356|actress,producer,soundtrack
nm0000133|Geena Davis|1956|tt0104694|actress,producer,soundtrack
nm0000134|Robert De Niro|1943|tt0094226,tt0117665,tt0203019,tt1045658,tt2446980|actor,producer,soundtrack
nm0000136|Johnny Depp|1963|tt0138304|actor,producer,soundtrack
nm0000138|Leonardo DiCaprio|1974|tt0264464|actor,producer,writer
nm0000139|Cameron Diaz|1972|tt0116289,tt0119738|actress,producer,soundtrack
nm0000140|Michael Douglas|1944|tt0821640,tt3228928|actor,producer,soundtrack
nm0000141|David Duchovny|1960|tt0290212,tt0345074|actor,producer,director
nm0000142|Clint Eastwood|1930|tt0107808|actor,producer,director
nm0000146|Ralph Fiennes|1962|tt0120794,tt4302938|actor,director,soundtrack
nm0000147|Colin Firth|1960|tt0373450,tt2870756|actor,producer,soundtrack
nm0000149|Jodie Foster|1962|tt0108185|actress,director,producer
nm0000151|Morgan Freeman|1937|tt0102798,tt0115857|actor,producer,soundtrack
