id|nid|role
tt0086927|nm0000158|actor
tt0086927|nm0000478|actress
tt0086927|nm0957460|actor
tt0086927|nm0342732|actor
tt0087089|nm0000152|actor
tt0087089|nm0002138|actor
tt0087089|nm0000178|actress
tt0087089|nm0571188|actress
tt0087277|nm0000102|actor
tt0087277|nm0001742|actress
tt0087277|nm0001475|actor
tt0087277|nm0001848|actress
tt0087374|nm0000126|actor
tt0087374|nm0098597|actress
tt0087374|nm0813015|actor
tt0087374|nm0494784|actor
tt0088161|nm0000158|actor
tt0088161|nm0000435|actress
tt0088161|nm0506405|actor
tt0088161|nm0001006|actor
tt0088707|nm0000126|actor
tt0088707|nm0335344|actor
tt0088707|nm0001044|actress
tt0088707|nm0000575|actress
tt0089126|nm0000126|actor
tt0089126|nm0000555|actor
tt0089126|nm0730168|actor
tt0089126|nm0124107|actor
tt0089420|nm0000152|actor
tt0089420|nm0940919|actor
tt0089420|nm0000481|actress
tt0089420|nm0703615|actor
tt0089543|nm0000158|actor
tt0089543|nm0001742|actress
tt0089543|nm0001056|actor
tt0089543|nm0001164|actor
tt0090022|nm0000177|actor
tt0090022|nm0001277|actor
tt0090022|nm0000126|actor
tt0090022|nm0000418|actor
tt0090274|nm0000158|actor
tt0090274|nm0001006|actor
tt0090274|nm0001854|actress
tt0090274|nm0859772|actor
tt0091019|nm0000158|actor
tt0091019|nm0551290|actress
tt0091019|nm0852028|actor
tt0091019|nm0041215|actress
tt0091065|nm0001882|actress
tt0091065|nm0000206|actor
tt0091065|nm0878240|actress
tt0091065|nm0824763|actress
tt0091541|nm0000158|actor
tt0091541|nm0001480|actress
tt0091541|nm0324231|actor
tt0091541|nm0822972|actress
tt0091637|nm0000152|actor
tt0091637|nm0000107|actress
tt0091637|nm0469103|actor
tt0091637|nm0001169|actor
tt0091653|nm0000158|actor
tt0091653|nm0001276|actor
tt0091653|nm0001693|actress
tt0091653|nm0001185|actor
tt0091786|nm0000152|actor
tt0091786|nm0001046|actress
tt0091786|nm0000432|actor
tt0091786|nm0001009|actress
tt0091814|nm0000102|actor
tt0091814|nm0000415|actress
